semaine;num.semaine;suicide
11/06/17;1;45
18/06/17;2;40
25/06/17;3;38
02/07/17;4;39
09/07/17;5;57
16/07/17;6;56
23/07/17;7;43
30/07/17;8;40
06/08/17;9;43
13/08/17;10;44
20/08/17;11;38
27/08/17;12;37
03/09/17;13;44
10/09/17;14;40
17/09/17;15;42
24/09/17;16;40
01/10/17;17;43
08/10/17;18;48
15/10/17;19;46
22/10/17;20;49
29/10/17;21;50
05/11/17;22;47
12/11/17;23;50
19/11/17;24;38
26/11/17;25;62
03/12/17;26;56
10/12/17;27;48
17/12/17;28;52
24/12/17;29;42
31/12/17;30;64
07/01/18;31;49
14/01/18;32;53
21/01/18;33;51
28/01/18;34;49
04/02/18;35;47
11/02/18;36;38
18/02/18;37;42
25/02/18;38;39
04/03/18;39;41
11/03/18;40;41
18/03/18;41;38
25/03/18;42;36
01/04/18;43;41
08/04/18;44;35
15/04/18;45;38
22/04/18;46;49
29/04/18;47;41
06/05/18;48;49
13/05/18;49;37
20/05/18;50;41
27/05/18;51;37
03/06/18;52;57
10/06/18;53;65
17/06/18;54;40
24/06/18;55;34
01/07/18;56;35
08/07/18;57;33
15/07/18;58;34
22/07/18;59;40
29/07/18;60;40
05/08/18;61;42
12/08/18;62;44
19/08/18;63;42
26/08/18;64;46
02/09/18;65;46
09/09/18;66;38
16/09/18;67;41
23/09/18;68;45
30/09/18;69;50
07/10/18;70;59
14/10/18;71;46
21/10/18;72;46
28/10/18;73;38
04/11/18;74;50
11/11/18;75;63
18/11/18;76;46
25/11/18;77;41
02/12/18;78;35
09/12/18;79;40
16/12/18;80;100
23/12/18;81;35
30/12/18;82;39
06/01/19;83;37
13/01/19;84;41
20/01/19;85;38
27/01/19;86;36
03/02/19;87;43
10/02/19;88;39
17/02/19;89;38
24/02/19;90;34
03/03/19;91;37
10/03/19;92;39
17/03/19;93;39
24/03/19;94;58
31/03/19;95;45
07/04/19;96;40
14/04/19;97;42
21/04/19;98;39
28/04/19;99;40
05/05/19;100;49
12/05/19;101;41
19/05/19;102;44
26/05/19;103;36
02/06/19;104;34
09/06/19;105;37
16/06/19;106;40
23/06/19;107;35
30/06/19;108;38
07/07/19;109;33
14/07/19;110;35
21/07/19;111;34
28/07/19;112;38
04/08/19;113;48
11/08/19;114;53
18/08/19;115;41
25/08/19;116;38
01/09/19;117;50
08/09/19;118;45
15/09/19;119;45
22/09/19;120;49
29/09/19;121;61
06/10/19;122;48
13/10/19;123;47
20/10/19;124;42
27/10/19;125;45
03/11/19;126;41
10/11/19;127;42
17/11/19;128;41
24/11/19;129;37
01/12/19;130;44
08/12/19;131;34
15/12/19;132;32
22/12/19;133;33
29/12/19;134;39
05/01/20;135;35
12/01/20;136;42
19/01/20;137;38
26/01/20;138;35
02/02/20;139;43
09/02/20;140;41
16/02/20;141;44
23/02/20;142;41
01/03/20;143;38
08/03/20;144;29
15/03/20;145;23
22/03/20;146;27
29/03/20;147;37
05/04/20;148;39
12/04/20;149;32
19/04/20;150;29
26/04/20;151;30
03/05/20;152;29
10/05/20;153;29
17/05/20;154;29
24/05/20;155;33
31/05/20;156;28
07/06/20;157;39
14/06/20;158;32
21/06/20;159;34
28/06/20;160;36
05/07/20;161;31
12/07/20;162;32
19/07/20;163;31
26/07/20;164;32
02/08/20;165;39
09/08/20;166;32
16/08/20;167;33
23/08/20;168;35
30/08/20;169;34
06/09/20;170;71
13/09/20;171;33
20/09/20;172;42
27/09/20;173;36
04/10/20;174;33
11/10/20;175;31
18/10/20;176;32
25/10/20;177;28
01/11/20;178;30
08/11/20;179;30
15/11/20;180;45
22/11/20;181;65
29/11/20;182;37
06/12/20;183;32
13/12/20;184;42
20/12/20;185;34
27/12/20;186;35
03/01/21;187;35
10/01/21;188;43
17/01/21;189;41
24/01/21;190;39
31/01/21;191;35
07/02/21;192;34
14/02/21;193;43
21/02/21;194;72
28/02/21;195;40
07/03/21;196;39
14/03/21;197;36
21/03/21;198;42
28/03/21;199;38
04/04/21;200;33
11/04/21;201;30
18/04/21;202;33
25/04/21;203;30
02/05/21;204;30
09/05/21;205;33
16/05/21;206;34
23/05/21;207;30
30/05/21;208;33
06/06/21;209;35
13/06/21;210;31
20/06/21;211;29
27/06/21;212;28
04/07/21;213;32
11/07/21;214;30
18/07/21;215;38
25/07/21;216;71
01/08/21;217;75
08/08/21;218;67
15/08/21;219;59
22/08/21;220;95
29/08/21;221;44
05/09/21;222;49
12/09/21;223;37
19/09/21;224;37
26/09/21;225;39
03/10/21;226;40
10/10/21;227;37
17/10/21;228;38
24/10/21;229;46
31/10/21;230;38
07/11/21;231;33
14/11/21;232;35
21/11/21;233;36
28/11/21;234;33
05/12/21;235;33
12/12/21;236;33
19/12/21;237;36
26/12/21;238;40
02/01/22;239;43
09/01/22;240;40
16/01/22;241;42
23/01/22;242;38
30/01/22;243;45
06/02/22;244;35
13/02/22;245;40
20/02/22;246;35
27/02/22;247;31
06/03/22;248;33
13/03/22;249;39
20/03/22;250;53
27/03/22;251;48
03/04/22;252;36
10/04/22;253;31
17/04/22;254;34
24/04/22;255;38
01/05/22;256;36
08/05/22;257;42
15/05/22;258;35
22/05/22;259;32
29/05/22;260;33
05/06/22;261;33
